2 theta	A_{s,sc}	A_{c,sc}	A_{c,c}
42.7	0.3107558	0.5744723	0.9246907
42.8	0.3107904	0.5747641	0.9246639
42.9	0.3108251	0.5751234	0.9246305
43	0.3108599	0.5756916	0.9245787
43.1	0.3108948	0.5760943	0.9245428
43.2	0.3109298	0.5762289	0.9245311
43.3	0.3109649	0.5763806	0.9245179
43.4	0.3110001	0.5765543	0.9245025
43.5	0.3110354	0.5767593	0.9244841
43.6	0.3110706	0.5770132	0.9244616
43.7	0.311106	0.5773664	0.92443
43.8	0.3111415	0.5781484	0.9243605
43.9	0.3111772	0.5781435	0.9243634
44	0.3112128	0.5781397	0.9243662
44.1	0.3112486	0.5781372	0.9243687
44.2	0.3112845	0.5781357	0.9243712
44.3	0.3113204	0.5781356	0.9243734
44.4	0.3113565	0.5781364	0.9243756
44.5	0.3113925	0.5781387	0.9243773
44.6	0.3114287	0.578142	0.9243789
44.7	0.311465	0.5781465	0.9243806
44.8	0.3115013	0.5781525	0.9243819
44.9	0.3115377	0.5781594	0.924383
45	0.3115743	0.5781675	0.9243841
45.1	0.3116108	0.5781769	0.924385
45.2	0.3116476	0.5781873	0.9243855
45.3	0.3116844	0.578199	0.9243861
45.4	0.3117213	0.5782119	0.9243863
45.5	0.3117582	0.5782259	0.9243865
45.6	0.3117952	0.5782413	0.9243864
45.7	0.3118324	0.5782578	0.9243861
45.8	0.3118696	0.5782754	0.9243857
45.9	0.3119069	0.5782943	0.9243851
46	0.3119443	0.5783145	0.9243846
46.1	0.3119817	0.5783358	0.9243833
46.2	0.3120193	0.5783583	0.9243826
46.3	0.3120568	0.5776216	0.924451
46.4	0.3120946	0.5772985	0.9244834
46.5	0.3121324	0.5770714	0.9245068
46.6	0.3121703	0.5768917	0.924526
46.7	0.3122083	0.5767419	0.9245424
46.8	0.3122463	0.5766137	0.9245571
46.9	0.3122844	0.5765017	0.92457
47	0.3123227	0.5761366	0.9246057
47.1	0.312361	0.5756157	0.9246566
47.2	0.3123993	0.5752921	0.9246899
47.3	0.3124378	0.5750327	0.9247171
47.4	0.3124764	0.5748109	0.9247413
47.5	0.312515	0.5746153	0.9247626
47.6	0.3125537	0.5744401	0.9247826
47.7	0.3125926	0.5742809	0.9248006
47.8	0.3126314	0.5741354	0.9248176
47.9	0.3126704	0.5740015	0.9248334
48	0.3127094	0.5738778	0.9248481
48.1	0.3127486	0.5737632	0.924862
48.2	0.3127878	0.5736572	0.9248751
48.3	0.3128271	0.5735584	0.9248873
48.4	0.3128664	0.5734668	0.9248989
48.5	0.3129059	0.5733817	0.9249099
48.6	0.3129454	0.5733025	0.9249201
48.7	0.312985	0.5732291	0.92493
48.8	0.3130247	0.573161	0.924939
48.9	0.3130646	0.5730981	0.9249478
49	0.3131044	0.57304	0.9249559
49.1	0.3131444	0.5729866	0.9249634
49.2	0.3131844	0.5729376	0.9249705
49.3	0.3132245	0.572893	0.9249772
49.4	0.3132647	0.5728527	0.9249836
49.5	0.313305	0.5728163	0.9249895
49.6	0.3133453	0.5727838	0.9249947
49.7	0.3133858	0.5727553	0.9249998
49.8	0.3134263	0.5727305	0.9250044
49.9	0.3134668	0.5727094	0.9250085
50	0.3135075	0.5724672	0.9250544
50.1	0.3135482	0.5723592	0.9250758
50.2	0.3135892	0.5722778	0.9250929
50.3	0.31363	0.5722113	0.9251071
50.4	0.313671	0.5721558	0.9251198
50.5	0.3137121	0.5721089	0.9251311
50.6	0.3137532	0.5720694	0.9251411
50.7	0.3137944	0.5720363	0.9251504
50.8	0.3138357	0.5720091	0.9251589
50.9	0.3138771	0.5719876	0.9251667
51	0.3139185	0.5719709	0.9251733
51.1	0.31396	0.5719593	0.9251795
51.2	0.3140017	0.5719525	0.9251851
51.3	0.3140433	0.5719506	0.9251902
51.4	0.3140851	0.5719529	0.9251944
51.5	0.314127	0.5719598	0.9251984
51.6	0.3141689	0.5719713	0.9252017
51.7	0.3142109	0.571987	0.9252045
51.8	0.3142529	0.5720072	0.9252067
51.9	0.3142951	0.5720323	0.9252084
52	0.3143373	0.5720613	0.9252095
52.1	0.3143796	0.5720955	0.92521
52.2	0.314422	0.5721341	0.9252101
52.3	0.3144644	0.5721776	0.9252096
52.4	0.3145069	0.5722261	0.9252086
52.5	0.3145495	0.5722799	0.9252067
52.6	0.3145922	0.572339	0.9252046
52.7	0.3146349	0.5724039	0.9252018
52.8	0.3146777	0.5724748	0.9251982
52.9	0.3147206	0.5725521	0.9251938
53	0.3147635	0.5726362	0.9251888
53.1	0.3148066	0.5727281	0.9251831
53.2	0.3148497	0.572828	0.9251764
53.3	0.3148929	0.5729375	0.925169
53.4	0.3149362	0.5730573	0.9251604
53.5	0.3149795	0.5731894	0.9251507
53.6	0.3150229	0.5733362	0.9251395
53.7	0.3150663	0.5735012	0.9251267
53.8	0.3151098	0.5736899	0.9251117
53.9	0.3151534	0.5739115	0.9250932
54	0.3151972	0.5741866	0.9250703
54.1	0.3152409	0.574573	0.9250371
54.2	0.3152847	0.5753177	0.9249728
54.3	0.3153285	0.5753285	0.9249758
54.4	0.3153726	0.5753413	0.9249786
54.5	0.3154166	0.5753561	0.9249809
54.6	0.3154607	0.5753729	0.9249834
54.7	0.3155048	0.5753915	0.9249849
54.8	0.315549	0.5754122	0.9249866
54.9	0.3155935	0.575435	0.9249883
55	0.3156378	0.5754593	0.924989
55.1	0.3156822	0.575486	0.9249901
55.2	0.3157267	0.5755145	0.9249906
55.3	0.3157713	0.5755451	0.9249911
55.4	0.3158159	0.5755776	0.9249911
55.5	0.3158606	0.575612	0.9249907
55.6	0.3159054	0.5756488	0.9249905
55.7	0.3159502	0.5756872	0.9249898
55.8	0.3159952	0.5757278	0.9249889
55.9	0.3160401	0.5757706	0.9249874
56	0.3160851	0.5758153	0.9249859
56.1	0.3161303	0.5758621	0.9249843
56.2	0.3161754	0.5759112	0.9249821
56.3	0.3162207	0.5759622	0.9249797
56.4	0.316266	0.5760154	0.9249771
56.5	0.3163113	0.5760708	0.9249742
56.6	0.3163566	0.5761286	0.9249711
56.7	0.3164022	0.5761885	0.9249677
56.8	0.3164477	0.5762506	0.9249638
56.9	0.3164933	0.576315	0.9249597
57	0.316539	0.5763819	0.9249552
57.1	0.3165847	0.5764513	0.9249508
57.2	0.3166305	0.5765228	0.9249458
57.3	0.3166763	0.576597	0.9249406
57.4	0.3167222	0.5766736	0.924935
57.5	0.3167682	0.576753	0.9249291
57.6	0.3168142	0.5768349	0.9249227
57.7	0.3168604	0.5769193	0.9249166
57.8	0.3169065	0.5770069	0.9249099
57.9	0.3169527	0.5770971	0.9249024
58	0.316999	0.5771902	0.9248949
58.1	0.3170453	0.5772864	0.9248871
58.2	0.3170917	0.5773857	0.9248789
58.3	0.3171381	0.5772905	0.9248879
58.4	0.3171847	0.5767322	0.9249409
58.5	0.3172312	0.5765167	0.9249635
58.6	0.3172778	0.576385	0.9249781
58.7	0.3173245	0.576299	0.9249886
58.8	0.3173713	0.5762438	0.9249961
58.9	0.317418	0.5762123	0.9250019
59	0.3174649	0.5761996	0.9250056
59.1	0.3175118	0.5762031	0.9250079
59.2	0.3175587	0.5762212	0.9250088
59.3	0.3176057	0.5762522	0.9250084
59.4	0.3176528	0.5762958	0.9250066
59.5	0.3176998	0.5763513	0.9250038
59.6	0.3177471	0.5764186	0.9249998
59.7	0.3177943	0.576498	0.9249946
59.8	0.3178415	0.5765898	0.9249883
59.9	0.3178888	0.5766945	0.9249806
60	0.3179362	0.5768141	0.9249716
60.1	0.3179837	0.5769494	0.9249609
60.2	0.3180311	0.5771043	0.9249486
