2 theta	A_{s,sc}	A_{c,sc}	A_{c,c}
89.7	0.333367	0.5928895	0.9250538
89.8	0.3334219	0.5929292	0.9250549
89.9	0.3334768	0.5929698	0.9250556
90	0.3335318	0.5930116	0.925056
90.1	0.3335867	0.5930547	0.9250561
90.2	0.3336418	0.5930989	0.9250566
90.3	0.3336967	0.5931443	0.9250563
90.4	0.3337517	0.5931908	0.9250563
90.5	0.3338067	0.5932387	0.9250558
90.6	0.3338617	0.5932874	0.9250551
90.7	0.3339168	0.5933376	0.9250543
90.8	0.3339718	0.593389	0.9250536
90.9	0.3340269	0.5934415	0.9250523
91	0.3340819	0.5934954	0.9250512
91.1	0.334137	0.5935503	0.9250494
91.2	0.3341921	0.5936065	0.925048
91.3	0.3342472	0.5936638	0.9250459
91.4	0.3343023	0.5937223	0.9250439
91.5	0.3343574	0.5937821	0.9250417
91.6	0.3344125	0.5938432	0.9250391
91.7	0.3344676	0.5939056	0.9250367
91.8	0.3345228	0.593969	0.9250339
91.9	0.3345779	0.5940338	0.9250308
92	0.3346331	0.5940998	0.9250278
92.1	0.3346883	0.5941673	0.9250242
92.2	0.3347435	0.5942357	0.9250207
92.3	0.3347986	0.5943056	0.9250169
92.4	0.3348539	0.5943767	0.9250126
92.5	0.334909	0.5944493	0.9250088
92.6	0.3349642	0.5945232	0.9250043
92.7	0.3350194	0.5945982	0.925
92.8	0.3350747	0.5946747	0.9249952
92.9	0.3351299	0.5947526	0.9249902
93	0.3351852	0.5948317	0.9249852
93.1	0.3352404	0.5949124	0.9249799
93.2	0.3352957	0.5949942	0.9249742
93.3	0.3353509	0.5950777	0.9249687
93.4	0.3354062	0.5951625	0.9249628
93.5	0.3354614	0.5952488	0.9249568
93.6	0.3355168	0.5953363	0.9249503
93.7	0.3355721	0.5954255	0.9249437
93.8	0.3356273	0.595516	0.924937
93.9	0.3356826	0.5956082	0.9249301
94	0.3357379	0.5957021	0.9249232
94.1	0.3357932	0.5957971	0.9249154
94.2	0.3358486	0.595894	0.9249077
94.3	0.3359039	0.5959923	0.9249002
94.4	0.3359592	0.5960923	0.9248921
94.5	0.3360145	0.5961941	0.9248837
94.6	0.3360698	0.5962975	0.9248752
94.7	0.3361251	0.5964025	0.9248664
94.8	0.3361805	0.5965094	0.9248577
94.9	0.3362358	0.5966179	0.9248483
95	0.3362911	0.5967283	0.9248388
95.1	0.3363465	0.5968406	0.924829
95.2	0.3364018	0.5967118	0.9248651
95.3	0.3364572	0.5966049	0.9248989
95.4	0.3365125	0.5965823	0.9249172
95.5	0.3365679	0.5965922	0.9249294
95.6	0.3366233	0.5966216	0.9249381
95.7	0.3366786	0.5966649	0.9249447
95.8	0.3367339	0.5967185	0.9249492
95.9	0.3367894	0.5967811	0.9249523
96	0.3368447	0.5968509	0.9249544
96.1	0.3369001	0.5969276	0.9249552
96.2	0.3369555	0.5970102	0.924955
96.3	0.3370108	0.5970985	0.9249538
96.4	0.3370661	0.5971921	0.9249521
96.5	0.3371215	0.5972906	0.9249493
96.6	0.3371768	0.5973942	0.9249462
96.7	0.3372322	0.5975025	0.9249418
96.8	0.3372876	0.5976156	0.9249368
96.9	0.3373429	0.5977334	0.9249316
97	0.3373983	0.5976053	0.9249932
97.1	0.3374536	0.5976262	0.9250163
97.2	0.337509	0.5976796	0.9250317
97.3	0.3375644	0.597752	0.9250429
97.4	0.3376197	0.5978382	0.9250511
97.5	0.3376751	0.5979365	0.925057
97.6	0.3377304	0.5980448	0.925061
97.7	0.3377857	0.5981629	0.9250636
97.8	0.3378411	0.5982905	0.9250641
97.9	0.3378964	0.5984278	0.9250638
98	0.3379517	0.5985743	0.9250615
98.1	0.3380071	0.5987315	0.9250583
98.2	0.3380624	0.5988994	0.9250535
98.3	0.3381178	0.5990794	0.9250473
98.4	0.338173	0.599273	0.9250394
98.5	0.3382283	0.5994825	0.9250298
98.6	0.3382836	0.5997111	0.9250179
98.7	0.3383389	0.5999646	0.9250038
98.8	0.3383942	0.6002516	0.9249864
98.9	0.3384495	0.6005903	0.9249641
99	0.3385047	0.601032	0.9249324
99.1	0.33856	0.6019251	0.9248605
99.2	0.3386153	0.6020036	0.9248636
99.3	0.3386705	0.6020854	0.9248659
99.4	0.3387258	0.6021698	0.9248681
99.5	0.3387812	0.6022571	0.9248698
99.6	0.3388363	0.6023472	0.924871
99.7	0.3388915	0.6024403	0.9248717
99.8	0.3389468	0.6025364	0.924872
99.9	0.339002	0.6026356	0.9248716
100	0.3390572	0.6027377	0.9248711
